STARDUST // MIRROR PROTOCOL
STATION 01 // DELAY ANALYSIS
========================================

RECOVERED TIME PAIRS

3:20:22 - 3:20:41 
3:21:05 - 3:21:25 
3:22:10 - 3:22:11 
3:23:40 - 3:23:58 
3:24:15 - 3:24:19 
3:25:02 - 3:25:23 
3:26:31 - 3:26:50 
3:27:10 - 3:27:30  

{
3:29:10 - 3:29:29  
3:30:02 - 3:30:22  
3:31:14 - 3:31:23  
3:32:05 - 3:32:25  
3:33:11 - 3:33:21  
3:34:20 - 3:34:35  
3:35:04 - 3:35:18  


3:37:02 - 3:37:22  
3:38:11 - 3:38:34  
3:39:04 - 3:39:19  


3:41:03 - 3:41:21  
3:42:10 - 3:42:15  
3:43:02 - 3:43:05  
3:44:10 - 3:44:25  
3:45:02 - 3:45:24  
3:46:10 - 3:46:15  
3:47:02 - 3:47:20  
3:48:10 - 3:48:15  
3:49:02 - 3:49:06  

}



























































IMPORTANT // THIS ONE WAS DIFFERENT FROM THE REST

4:10:12 - 4:10:18 
4:11:05 - 4:11:23 
4:12:20 - 4:12:21 
4:13:02 - 4:13:09 
4:14:10 - 4:14:23 
4:15:03 - 4:15:08 
4:16:20 - 4:16:34 
4:17:05 - 4:17:25  

:

4:19:05 - 4:19:14
4:20:10 - 4:20:24
4:21:02 - 4:21:22
