STARDUST // MIRROR PROTOCOL
STATION 01 // DELAY ANALYSIS
========================================

RECOVERED TIME PAIRS

3:20:22 - 3:20:41
3:21:05 - 3:21:25
3:22:10 - 3:22:11
3:23:40 - 3:23:58
3:24:15 - 3:24:19
3:25:02 - 3:25:23
3:26:31 - 3:26:50
3:27:10 - 3:27:30

{
3:29:10 - 3:29:29
3:30:02 - 3:30:22
3:31:14 - 3:31:15
3:32:05 - 3:32:25
3:33:11 - 3:33:20
3:34:20 - 3:34:35
3:35:04 - 3:35:18


3:37:02 - 3:37:17
3:38:11 - 3:38:25
3:39:04 - 3:39:09


3:41:03 - 3:41:21
3:42:10 - 3:42:15
3:43:02 - 3:43:05
3:44:10 - 3:44:25
3:45:02 - 3:45:24
3:46:10 - 3:46:15
3:47:02 - 3:47:20
3:48:10 - 3:48:15
3:49:02 - 3:49:06

}


































A fragment was RECOVERED
04:12:20 - 04:12:39
04:13:05 - 04:13:26
04:14:10 - 04:14:24
